chapter_id,part_number,chapter_number,title,title_tsv
185,1,57,u Down Syndrome and Other Abnormalities of Chromosome Number,abnormalities and chromosome down number of other syndrome u
186,1,57,u Down Syndrome and Other Abnormalities of Chromosome Number,abnormalities and chromosome down number of other syndrome u
187,1,58,u Autism Spectrum Disorder,autism disorder spectrum u
188,1,58,u Autism Spectrum Disorder,autism disorder spectrum u
189,1,58,u Autism Spectrum Disorder,autism disorder spectrum u
190,1,58,u Autism Spectrum Disorder,autism disorder spectrum u
191,1,58,u Autism Spectrum Disorder,autism disorder spectrum u
192,1,59,u Fragile X Syndromes,fragile syndromes u x
193,1,59,u Fragile X Syndromes,fragile syndromes u x
194,1,59,u Fragile X Syndromes,fragile syndromes u x
195,1,60,u Nutritional Requirements,nutritional requirements u
196,1,60,u Nutritional Requirements,nutritional requirements u
197,1,60,u Nutritional Requirements,nutritional requirements u
198,1,60,u Nutritional Requirements,nutritional requirements u
199,1,60,u Nutritional Requirements,nutritional requirements u
200,1,60,u Nutritional Requirements,nutritional requirements u
201,1,60,u Nutritional Requirements,nutritional requirements u
202,1,60,u Nutritional Requirements,nutritional requirements u
203,1,60,u Nutritional Requirements,nutritional requirements u
204,2,687,u Principles of Dermatologic Therapy,dermatologic of principles therapy u
205,2,688,u Dermatologic Diseases of the Neonate,dermatologic diseases neonate of the u
206,2,689,u Cutaneous Defects,cutaneous defects u
207,2,689,u Cutaneous Defects,cutaneous defects u
208,2,690,u Ectodermal Dysplasias 4047,4047 dysplasias ectodermal u
209,2,690,u Ectodermal Dysplasias 4049,4049 dysplasias ectodermal u
210,2,691,u Vascular Anomalies,anomalies u vascular
211,2,691,u Vascular Anomalies,anomalies u vascular
212,2,691,u Vascular Anomalies,anomalies u vascular
213,2,691,u Vascular Anomalies,anomalies u vascular
214,2,691,u Vascular Anomalies,anomalies u vascular
215,2,692,u Cutaneous Nevi,cutaneous nevi u
216,2,692,u Cutaneous Nevi,cutaneous nevi u
217,2,692,u Cutaneous Nevi,cutaneous nevi u
218,2,693,u Hyperpigmented Lesions,hyperpigmented lesions u
219,2,693,u Hyperpigmented Lesions,hyperpigmented lesions u
220,2,694,u Hypopigmented Lesions,hypopigmented lesions u
221,2,694,u Hypopigmented Lesions,hypopigmented lesions u
222,2,694,u Hypopigmented Lesions,hypopigmented lesions u
223,2,694,u Hypopigmented Lesions,hypopigmented lesions u
224,2,695,u Vesiculobullous Disorders,disorders u vesiculobullous
225,2,695,u Vesiculobullous Disorders,disorders u vesiculobullous
226,2,695,u Vesiculobullous Disorders,disorders u vesiculobullous
227,2,695,u Vesiculobullous Disorders,disorders u vesiculobullous
228,2,695,u Vesiculobullous Disorders,disorders u vesiculobullous
229,2,696,u Eczematous Disorders,disorders eczematous u
230,2,696,u Eczematous Disorders,disorders eczematous u
231,2,696,u Eczematous Disorders,disorders eczematous u
232,2,697,u Photosensitivity,photosensitivity u
233,2,697,u Photosensitivity,photosensitivity u
234,2,697,u Photosensitivity,photosensitivity u
235,2,698,u Diseases of the Epidermis 4099,4099 diseases epidermis of the u
236,2,698,u Diseases of the Epidermis 4101,4101 diseases epidermis of the u
237,2,698,u Diseases of the Epidermis 4103,4103 diseases epidermis of the u
238,2,698,u Diseases of the Epidermis 4105,4105 diseases epidermis of the u
239,2,698,u Diseases of the Epidermis 4107,4107 diseases epidermis of the u
240,2,698,u Diseases of the Epidermis 4109,4109 diseases epidermis of the u
241,2,699,u Disorders of Keratinization,disorders keratinization of u
242,2,699,u Disorders of Keratinization,disorders keratinization of u
243,2,699,u Disorders of Keratinization,disorders keratinization of u
244,2,699,u Disorders of Keratinization,disorders keratinization of u
245,2,700,u Diseases of the Dermis,dermis diseases of the u
246,2,700,u Diseases of the Dermis,dermis diseases of the u
247,2,700,u Diseases of the Dermis,dermis diseases of the u
248,2,700,u Diseases of the Dermis,dermis diseases of the u
249,2,700,u Diseases of the Dermis,dermis diseases of the u
250,2,701,u Diseases of Subcutaneous Tissue,diseases of subcutaneous tissue u
251,2,701,u Diseases of Subcutaneous Tissue,diseases of subcutaneous tissue u
252,2,701,u Diseases of Subcutaneous Tissue,diseases of subcutaneous tissue u
253,2,702,u Disorders of the Sweat Glands 4135,4135 disorders glands of sweat the u
254,2,703,u Disorders of Hair 4137,4137 disorders hair of u
255,2,703,u Disorders of Hair 4139,4139 disorders hair of u
256,2,703,u Disorders of Hair 4141,4141 disorders hair of u
257,2,704,u Disorders of the Nails,disorders nails of the u
258,2,704,u Disorders of the Nails,disorders nails of the u
259,2,705,u Disorders of the Mucous Membranes 4147,4147 disorders membranes mucous of the u
260,2,705,u Disorders of the Mucous Membranes 4149,4149 disorders membranes mucous of the u
261,2,706,u Cutaneous Bacterial Infections,bacterial cutaneous infections u
262,2,706,u Cutaneous Bacterial Infections,bacterial cutaneous infections u
263,2,706,u Cutaneous Bacterial Infections,bacterial cutaneous infections u
264,2,706,u Cutaneous Bacterial Infections,bacterial cutaneous infections u
265,2,707,u Cutaneous Fungal Infections,cutaneous fungal infections u
266,2,707,u Cutaneous Fungal Infections,cutaneous fungal infections u
267,2,707,u Cutaneous Fungal Infections,cutaneous fungal infections u
268,2,707,u Cutaneous Fungal Infections,cutaneous fungal infections u
269,2,708,u Cutaneous Viral Infections,cutaneous infections u viral
270,2,708,u Cutaneous Viral Infections,cutaneous infections u viral
271,2,709,u Arthropod Bites and Infestations 4171,4171 and arthropod bites infestations u
272,2,709,u Arthropod Bites and Infestations 4173,4173 and arthropod bites infestations u
273,2,709,u Arthropod Bites and Infestations 4175,4175 and arthropod bites infestations u
274,2,710,u Acne,acne u
275,2,710,u Acne,acne u
276,2,710,u Acne,acne u
277,2,710,u Acne,acne u
278,2,711,u Tumors of the Skin,of skin the tumors u
279,2,711,u Tumors of the Skin,of skin the tumors u
280,2,712,u Nutritional Dermatoses 4189,4189 dermatoses nutritional u
281,2,712,u Nutritional Dermatoses 4191,4191 dermatoses nutritional u
282,2,714,u Orthopedic Evaluation of the Child,child evaluation of orthopedic the u
283,2,714,u Orthopedic Evaluation of the Child,child evaluation of orthopedic the u
284,2,714,u Orthopedic Evaluation of the Child,child evaluation of orthopedic the u
285,2,715,u The Foot and Toes,and foot the toes u
286,2,715,u The Foot and Toes,and foot the toes u
287,2,715,u The Foot and Toes,and foot the toes u
288,2,715,u The Foot and Toes,and foot the toes u
289,2,715,u The Foot and Toes,and foot the toes u
290,2,715,u The Foot and Toes,and foot the toes u
291,2,716,u Torsional and Angular Deformities of the Limb,and angular deformities limb of the torsional u
292,2,716,u Torsional and Angular Deformities of the Limb,and angular deformities limb of the torsional u
293,2,716,u Torsional and Angular Deformities of the Limb,and angular deformities limb of the torsional u
294,2,717,u Leg-­Length Discrepancy,discrepancy leg length u
295,2,717,u Leg-­Length Discrepancy,discrepancy leg length u
296,2,717,u Leg-­Length Discrepancy,discrepancy leg length u
297,2,718,u The Knee,knee the u
298,2,718,u The Knee,knee the u
299,2,718,u The Knee,knee the u
300,2,719,u The Hip 4231,4231 hip the u
301,2,719,u The Hip 4233,4233 hip the u
302,2,719,u The Hip 4235,4235 hip the u
303,2,719,u The Hip 4237,4237 hip the u
304,2,719,u The Hip 4239,4239 hip the u
305,2,719,u The Hip 4241,4241 hip the u
306,2,720,u The Spine,spine the u
307,2,720,u The Spine,spine the u
308,2,720,u The Spine,spine the u
309,2,720,u The Spine,spine the u
310,2,720,u The Spine,spine the u
311,2,720,u The Spine,spine the u
312,2,720,u The Spine,spine the u
313,2,720,u The Spine,spine the u
314,2,721,u The Neck,neck the u
315,2,721,u The Neck,neck the u
316,2,722,u The Upper Limb,limb the u upper
317,2,722,u The Upper Limb,limb the u upper
318,2,722,u The Upper Limb,limb the u upper
319,2,722,u The Upper Limb,limb the u upper
320,2,723,u Arthrogryposis 4271,4271 arthrogryposis u
321,2,723,u Arthrogryposis 4273,4273 arthrogryposis u
322,2,723,u Arthrogryposis 4275,4275 arthrogryposis u
323,2,724,u Common Fractures,common fractures u
324,2,724,u Common Fractures,common fractures u
325,2,724,u Common Fractures,common fractures u
326,2,724,u Common Fractures,common fractures u
327,2,725,u Osteomyelitis,osteomyelitis u
328,2,725,u Osteomyelitis,osteomyelitis u
329,2,725,u Osteomyelitis,osteomyelitis u
330,2,726,u Septic Arthritis 4291,4291 arthritis septic u
331,2,726,u Septic Arthritis 4293,4293 arthritis septic u
332,2,727,u Prevention of Injuries,injuries of prevention u
333,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
334,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
335,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
336,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
337,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
338,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
339,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
340,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
341,2,728,u Management of Musculoskeletal Injury,injury management musculoskeletal of u
342,2,729,u Sports-­Related Traumatic Brain Injury (Concussion) 4315,4315 brain concussion injury related sports traumatic u
343,2,729,u Sports-­Related Traumatic Brain Injury (Concussion) 4317,4317 brain concussion injury related sports traumatic u
344,2,730,u Cervical Spine Injuries,cervical injuries spine u
345,2,731,u Heat Injuries,heat injuries u
346,2,732,u Nutrition and Endocrine Conditions in Athletes,and athletes conditions endocrine in nutrition u
347,2,733,u Performance-­Enhancing Aids,aids enhancing performance u
348,2,734,u Specific Sports and Associated Injuries,and associated injuries specific sports u
349,2,734,u Specific Sports and Associated Injuries,and associated injuries specific sports u
350,2,734,u Specific Sports and Associated Injuries,and associated injuries specific sports u
351,2,735,u General Considerations in Skeletal Dysplasias,considerations dysplasias general in skeletal u
352,2,735,u General Considerations in Skeletal Dysplasias,considerations dysplasias general in skeletal u
353,2,735,u General Considerations in Skeletal Dysplasias,considerations dysplasias general in skeletal u
354,2,735,u General Considerations in Skeletal Dysplasias,considerations dysplasias general in skeletal u
355,2,736,u Disorders Involving Cartilage Matrix Proteins,cartilage disorders involving matrix proteins u
356,2,737,u Disorders Involving Transmembrane Receptors 4345,4345 disorders involving receptors transmembrane u
357,2,738,u Disorders Involving Ion Transporters,disorders involving ion transporters u
358,2,739,u Disorders Involving Transcription Factors 4349,4349 disorders factors involving transcription u
359,2,740,u Osteopetrosis and Other Disorders Involving Defective Bone Resorption 4351,4351 and bone defective disorders involving osteopetrosis other resorption u
360,2,740,u Osteopetrosis and Other Disorders Involving Defective Bone Resorption 4353,4353 and bone defective disorders involving osteopetrosis other resorption u
361,2,741,u Other Inherited Disorders of Skeletal Development,development disorders inherited of other skeletal u
362,2,741,u Other Inherited Disorders of Skeletal Development,development disorders inherited of other skeletal u
363,2,742,u Osteogenesis Imperfecta 4359,4359 imperfecta osteogenesis u
364,2,742,u Osteogenesis Imperfecta 4361,4361 imperfecta osteogenesis u
365,2,743,u Marfan Syndrome 4363,4363 marfan syndrome u
366,2,743,u Marfan Syndrome 4365,4365 marfan syndrome u
367,2,743,u Marfan Syndrome 4367,4367 marfan syndrome u
368,2,744,u Ehlers-­Danlos Syndrome,danlos ehlers syndrome u
369,2,744,u Ehlers-­Danlos Syndrome,danlos ehlers syndrome u
370,2,744,u Ehlers-­Danlos Syndrome,danlos ehlers syndrome u
371,2,745,u Cutis Laxa 4375,4375 cutis laxa u
372,2,746,"u Bone Structure, Growth, and Hormonal Regulation 4377",4377 and bone growth hormonal regulation structure u
373,2,746,"u Bone Structure, Growth, and Hormonal Regulation 4379",4379 and bone growth hormonal regulation structure u
374,2,749,u Osteoporosis 4383,4383 osteoporosis u
375,2,749,u Osteoporosis 4385,4385 osteoporosis u
376,2,750,u Rehabilitation for Traumatic Brain Injury,brain for injury rehabilitation traumatic u
377,2,751,u Spinal Cord Injury and Autonomic Dysreflexia Management,and autonomic cord dysreflexia injury management spinal u
378,2,751,u Spinal Cord Injury and Autonomic Dysreflexia Management,and autonomic cord dysreflexia injury management spinal u
379,2,751,u Spinal Cord Injury and Autonomic Dysreflexia Management,and autonomic cord dysreflexia injury management spinal u
380,2,751,u Spinal Cord Injury and Autonomic Dysreflexia Management,and autonomic cord dysreflexia injury management spinal u
381,2,752,u Spasticity 4395,4395 spasticity u
382,2,753,u Birth Brachial Plexus Palsy,birth brachial palsy plexus u
383,2,753,u Birth Brachial Plexus Palsy,birth brachial palsy plexus u
384,2,754,u Meningomyelocele ­(Spina Bifida) 4401,4401 bifida meningomyelocele spina u
385,2,755,u Upper and Lower Extremity Assistive Devices,and assistive devices extremity lower u upper
386,2,756,u Health and Wellness for Children with Disabilities,and children disabilities for health u wellness with
387,2,756,u Health and Wellness for Children with Disabilities,and children disabilities for health u wellness with
388,2,757,u Overview of Environmental Health and Children,and children environmental health of overview u
389,2,758,u Biologic Effects of Ionizing Radiation on Children,biologic children effects ionizing of on radiation u
390,2,758,u Biologic Effects of Ionizing Radiation on Children,biologic children effects ionizing of on radiation u
391,2,758,u Biologic Effects of Ionizing Radiation on Children,biologic children effects ionizing of on radiation u
392,2,758,u Biologic Effects of Ionizing Radiation on Children,biologic children effects ionizing of on radiation u
393,2,758,u Biologic Effects of Ionizing Radiation on Children,biologic children effects ionizing of on radiation u
394,2,759,u Chemical Pollutants,chemical pollutants u
395,2,759,u Chemical Pollutants,chemical pollutants u
396,2,759,u Chemical Pollutants,chemical pollutants u
397,2,759,u Chemical Pollutants,chemical pollutants u
398,2,760,u Heavy Metal Intoxication 4431,4431 heavy intoxication metal u
399,2,760,u Heavy Metal Intoxication 4433,4433 heavy intoxication metal u
400,2,760,u Heavy Metal Intoxication 4435,4435 heavy intoxication metal u
401,2,761,u Lead Poisoning,lead poisoning u
402,2,761,u Lead Poisoning,lead poisoning u
403,2,762,u Nonbacterial Food Poisoning,food nonbacterial poisoning u
404,2,762,u Nonbacterial Food Poisoning,food nonbacterial poisoning u
405,2,762,u Nonbacterial Food Poisoning,food nonbacterial poisoning u
406,2,763,u Biological and Chemical Terrorism,and biological chemical terrorism u
407,2,763,u Biological and Chemical Terrorism,and biological chemical terrorism u
408,2,763,u Biological and Chemical Terrorism,and biological chemical terrorism u
409,2,763,u Biological and Chemical Terrorism,and biological chemical terrorism u
410,2,763,u Biological and Chemical Terrorism,and biological chemical terrorism u
411,2,765,u Animal and Human Bites,and animal bites human u
412,2,765,u Animal and Human Bites,and animal bites human u
413,2,767,u Mpox (Monkeypox),monkeypox mpox u
414,2,767,u Mpox (Monkeypox),monkeypox mpox u
415,2,767,u Mpox (Monkeypox),monkeypox mpox u
416,2,768,u Envenomations 4467,4467 envenomations u
417,2,768,u Envenomations 4469,4469 envenomations u
418,2,768,u Envenomations 4471,4471 envenomations u
419,2,769,u Laboratory Testing in Infants and Children,and children in infants laboratory testing u
420,2,769,u Laboratory Testing in Infants and Children,and children in infants laboratory testing u
421,2,770,u Reference Intervals for Laboratory Tests and Procedures,and for intervals laboratory procedures reference tests u
422,2,770,u Reference Intervals for Laboratory Tests and Procedures,and for intervals laboratory procedures reference tests u
423,2,770,u Reference Intervals for Laboratory Tests and Procedures,and for intervals laboratory procedures reference tests u
424,2,770,u Reference Intervals for Laboratory Tests and Procedures,and for intervals laboratory procedures reference tests u
425,2,770,u Reference Intervals for Laboratory Tests and Procedures,and for intervals laboratory procedures reference tests u
426,2,770,u Reference Intervals for Laboratory Tests and Procedures,and for intervals laboratory procedures reference tests u
427,3,60,u Nutritional Requirements,nutritional requirements u
428,3,61,"u Feeding Healthy Infants, Children, and Adolescents",adolescents and children feeding healthy infants u
429,3,61,"u Feeding Healthy Infants, Children, and Adolescents",adolescents and children feeding healthy infants u
430,3,61,"u Feeding Healthy Infants, Children, and Adolescents",adolescents and children feeding healthy infants u
431,3,61,"u Feeding Healthy Infants, Children, and Adolescents",adolescents and children feeding healthy infants u
432,3,61,"u Feeding Healthy Infants, Children, and Adolescents",adolescents and children feeding healthy infants u
433,3,61,"u Feeding Healthy Infants, Children, and Adolescents",adolescents and children feeding healthy infants u
