section_id,chapter_id,section_number,title,title_tsv
40,112,2.5,twice daily,daily twice
41,112,0.05,mg/kg/day,day kg mg
42,118,36.1,Rumination Disorder,disorder rumination
43,119,36.2,Pica,pica
44,119,37.1,Tic Disorders,disorders tic
45,121,37.2,Stereotypic Movement Disorder,disorder movement stereotypic
46,125,39.1,Depressive Disorders,depressive disorders
47,128,39.2,Bipolar Disorders,bipolar disorders
48,142,47.1,Schizophrenia Spectrum Disorders,disorders schizophrenia spectrum
49,145,47.3,Catatonia in Children and Adolescents,adolescents and catatonia children in
50,145,47.2,Non-Schizophrenia Spectrum Psychotic,non psychotic schizophrenia spectrum
51,146,47.4,Hallucinations of Childhood,childhood hallucinations of
52,155,314.01,"Attention-­deficit/hyperactivity disorder, combined presentation:",attention combined deficit disorder hyperactivity presentation
53,155,314.00,"Attention-­deficit/hyperactivity disorder, predominantly",attention deficit disorder hyperactivity predominantly
54,155,314.01,"Attention-­deficit/hyperactivity disorder, predominantly",attention deficit disorder hyperactivity predominantly
55,159,52.1,Math Disabilities,disabilities math
56,161,315.2,(F81.81) With impairment in written expression:,81 expression f81 impairment in with written
57,161,52.2,Writing Disabilities,disabilities writing
58,167,53.1,Childhood-­Onset Fluency Disorder,childhood disorder fluency onset
59,174,56.2,IV Genetic,genetic iv
60,194,60.5,and 60.6).,6 60 and
61,210,691.6,and Table 691.3).,3 691 and table
62,223,695.1,Erythema Multiforme,erythema multiforme
63,224,695.2,Reactive Infectious Mucocutaneous,infectious mucocutaneous reactive
64,224,695.3,Stevens-­Johnson Syndrome,johnson stevens syndrome
65,225,695.4,Toxic Epidermal Necrolysis,epidermal necrolysis toxic
66,226,695.5,Mechanobullous Disorders,disorders mechanobullous
67,227,695.7,and 695.8). The blister is subepidermal in all types of DEB. The,695 8 all and blister deb in is of subepidermal the types
68,228,695.6,Pemphigus,pemphigus
69,228,695.7,Dermatitis Herpetiformis,dermatitis herpetiformis
70,228,695.8,Linear Immunoglobulin A (IgA),a iga immunoglobulin linear
71,229,696.1,Contact Dermatitis,contact dermatitis
72,230,696.2,Nummular Eczema,eczema nummular
73,230,696.3,Pityriasis Alba,alba pityriasis
74,231,696.4,Lichen Simplex Chronicus,chronicus lichen simplex
75,231,696.5,Acute Palmoplantar Eczema,acute eczema palmoplantar
76,231,696.6,Seborrheic Dermatitis,dermatitis seborrheic
77,234,698.1,Psoriasis,psoriasis
78,236,0.4,mg/kg,kg mg
79,236,698.2,Pityriasis Lichenoides,lichenoides pityriasis
80,237,698.3,Keratosis Pilaris,keratosis pilaris
81,237,698.4,Lichen Spinulosus,lichen spinulosus
82,237,698.5,Pityriasis Rosea,pityriasis rosea
83,238,698.6,Pityriasis Rubra Pilaris,pilaris pityriasis rubra
84,238,698.7,Darier Disease (Keratosis Follicularis),darier disease follicularis keratosis
85,238,698.9,Lichen Striatus,lichen striatus
86,238,698.8,Lichen Nitidus,lichen nitidus
87,239,698.10,Lichen Planus,lichen planus
88,239,698.11,Porokeratosis,porokeratosis
89,239,698.12,Gianotti-­Crosti Syndrome (Papular,crosti gianotti papular syndrome
90,239,698.13,Acanthosis Nigricans,acanthosis nigricans
91,248,700.1,Mast Cell Activation Syndrome,activation cell mast syndrome
92,250,701.1,Panniculitis and Erythema Nodosum,and erythema nodosum panniculitis
93,251,0.5,"mg/kg 3 times a day, maximum 10 mg/dose) may be used in severe",10 3 a be day dose in kg maximum may mg severe times used
94,251,701.2,Lipodystrophy,lipodystrophy
95,260,706.1,Impetigo,impetigo
96,261,706.2,Subcutaneous Tissue Infections,infections subcutaneous tissue
97,262,706.3,Staphylococcal Scalded Skin,scalded skin staphylococcal
98,262,706.4,Ecthyma,ecthyma
99,262,706.5,Other Cutaneous Bacterial Infections,bacterial cutaneous infections other
100,270,709.1,Arthropod Bites,arthropod bites
101,271,709.2,Scabies,scabies
102,273,709.3,Pediculosis,pediculosis
103,274,709.4,Seabather’s Eruption,eruption s seabather
104,282,0.8,(0.8),0 8
105,282,1.2,(1.4),1 4
106,282,0.9,(1.1),1
107,282,0.22,Ulna,ulna
108,282,0.25,Radius,radius
109,282,0.75,Radius,radius
110,282,0.9,Ulna,ulna
111,282,0.7,(0.8),0 8
112,285,715.1,Metatarsus Adductus,adductus metatarsus
113,285,715.2,Calcaneovalgus Feet,calcaneovalgus feet
114,285,715.3,Talipes Equinovarus (Clubfoot),clubfoot equinovarus talipes
115,286,715.4,Congenital Vertical Talus,congenital talus vertical
116,287,715.5,Hypermobile Pes Planus (Flexible,flexible hypermobile pes planus
117,287,715.6,Tarsal Coalition,coalition tarsal
118,288,715.7,Cavus Feet,cavus feet
119,288,715.8,Osteochondroses/Apophysitis,apophysitis osteochondroses
120,288,715.9,Puncture Wounds of the Foot,foot of puncture the wounds
121,288,715.10,Toe Deformities,deformities toe
122,290,715.11,Painful Foot,foot painful
123,290,715.12,Shoes,shoes
124,290,716.1,Normal Limb Development,development limb normal
125,290,716.2,Limb Evaluation,evaluation limb
126,290,716.3,Torsional Deformities,deformities torsional
127,292,716.4,Coronal Plane Deformities,coronal deformities plane
128,292,716.5,Congenital Angular Deformities of,angular congenital deformities of
129,296,718.1,Discoid Lateral Meniscus,discoid lateral meniscus
130,297,718.2,Popliteal Cysts (Baker Cysts),baker cysts popliteal
131,297,718.3,Juvenile Osteochondritis Dissecans,dissecans juvenile osteochondritis
132,297,718.4,Osgood-­Schlatter Disease and,and disease osgood schlatter
133,298,718.5,Patellofemoral Pain Syndrome,pain patellofemoral syndrome
134,298,718.6,Patellofemoral Instability,instability patellofemoral
135,299,718.7,Anterior Cruciate Ligament Rupture,anterior cruciate ligament rupture
136,300,719.1,Developmental Dysplasia of the Hip,developmental dysplasia hip of the
137,302,719.2,Transient Monoarticular Synovitis,monoarticular synovitis transient
138,303,719.3,Legg-­Calvé-­Perthes Disease,calvé disease legg perthes
139,304,719.4,Slipped Capital Femoral Epiphysis,capital epiphysis femoral slipped
140,305,720.1,Idiopathic Scoliosis,idiopathic scoliosis
141,308,720.2,Congenital Scoliosis,congenital scoliosis
142,308,720.3,"Neuromuscular Scoliosis, Genetic",genetic neuromuscular scoliosis
143,309,720.4,Kyphosis,kyphosis
144,310,720.5,Back Pain in Children,back children in pain
145,311,720.6,Spondylolysis and Spondylolisthesis,and spondylolisthesis spondylolysis
146,312,720.7,Spine Infection,infection spine
147,312,720.13,and 720.14).,14 720 and
148,312,720.8,Intervertebral Disk Herniation/,disk herniation intervertebral
149,313,720.9,Tumors,tumors
150,313,721.1,Torticollis,torticollis
151,314,721.2,Klippel-­Feil Syndrome,feil klippel syndrome
152,315,721.3,Cervical Anomalies and Instabilities,and anomalies cervical instabilities
153,322,724.1,Unique Characteristics of Pediatric,characteristics of pediatric unique
154,323,724.2,Pediatric Fracture Patterns,fracture patterns pediatric
155,324,724.3,Upper Extremity Fractures,extremity fractures upper
156,325,724.4,Lower Extremity Fractures,extremity fractures lower
157,326,724.5,Operative Treatment of Fractures,fractures of operative treatment
158,326,724.6,Complications of Fractures in Children,children complications fractures in of
159,334,728.1,Growth Plate Injuries,growth injuries plate
160,334,728.2,Shoulder Injuries,injuries shoulder
161,336,728.3,Elbow Injuries,elbow injuries
162,337,728.4,Low Back Injuries,back injuries low
163,338,728.5,Hip and Pelvis Injuries,and hip injuries pelvis
164,338,728.6,Knee Injuries,injuries knee
165,339,728.7,Lower Leg Exertional Pain: Shin,exertional leg lower pain shin
166,340,728.8,Ankle Injuries,ankle injuries
167,341,728.9,Foot Injuries,foot injuries
168,369,744.1,"Complex connective tissue macroenvironment illustrated by intermingled collagen and elastin fibers, nerves, mast cells, and",and by cells collagen complex connective elastin fibers illustrated intermingled macroenvironment mast nerves tissue
169,392,1.2,Gy (120 rads),120 gy rads
170,396,759.1,Tobacco,tobacco
171,397,759.2,Marijuana Smoke Exposure,exposure marijuana smoke
172,398,12.84,(±10.6),10 6
173,398,11.19,(±5.73),5 73
174,398,8.86,(±4.60),4 60
175,398,9.18,(±4.95),4 95
176,398,8.00,(±4.65),4 65
177,398,7.07,(±3.36),3 36
178,398,6.68,(±3.42),3 42
179,399,74.9,Da,da
180,399,200.59,Da,da
181,401,0.25,point higher. A randomized placebo-­controlled treatment study,a controlled higher placebo point randomized study treatment
182,403,762.1,Mushroom Poisoning,mushroom poisoning
183,404,762.2,Solanine Poisoning,poisoning solanine
184,404,762.3,Seafood Poisoning,poisoning seafood
185,405,762.4,Melamine Poisoning,melamine poisoning
186,408,4.4,mg/kg/day PO,day kg mg po
187,412,12.5,mg/kg per dose four times daily,daily dose four kg mg per times
188,420,0.69,× 50,50
189,420,0.69,× 50 + (0.004 × 50),0 004 50
190,420,0.996,× 50,50
191,420,0.996,× 50 + (0.31 × 50),0 31 50
192,424,0.78,± 0.37% of total Hb,0 37 hb of total
193,424,0.0078,± 0.0037 (mass fraction),0 0037 fraction mass
194,424,4.5,mmol/L,l mmol
195,425,0.076,±,
196,425,0.026,mmol/L,l mmol
197,425,0.076,± 0.026 mmol/L,0 026 l mmol
198,440,64.3,and see Table 62.6). Tanner staging cannot be used as a marker,6 62 a and as be cannot marker see staging table tanner used
199,442,7.7,"kcal/mL; does not mix well, can administer as small bolus.",administer as bolus can does kcal mix ml not small well
200,442,3.3,kcal/mL can be added to milk or nutritional supplements.,added be can kcal milk ml nutritional or supplements to
201,447,7.5,mg/46 mg,46 mg
202,449,1.33,"μmol/L in males and females, respectively, ages 9-­13; and 1.71",1 13 71 9 ages and females in l males respectively μmol
203,451,0.4,mg/day,day mg
204,451,0.4,mg/day,day mg
205,451,0.4,mg/day,day mg
206,452,67.1,Thiamine (Vitamin B1),b1 thiamine vitamin
207,453,67.2,Riboflavin (Vitamin B2),b2 riboflavin vitamin
208,454,67.3,Niacin (Vitamin B3),b3 niacin vitamin
209,455,67.4,Vitamin B6 (Pyridoxine),b6 pyridoxine vitamin
210,455,67.5,Biotin,biotin
211,455,67.6,Folate,folate
212,456,67.7,Vitamin B12 (Cobalamin),b12 cobalamin vitamin
213,464,73.1,Composition of Body Fluids,body composition fluids of
214,465,73.2,Regulation of Osmolality and Volume,and of osmolality regulation volume
215,466,73.3,Sodium,sodium
216,470,73.4,Potassium,potassium
217,473,73.5,Magnesium,magnesium
218,473,1.9,"mEq/L; 0.62-­0.94 mmol/L), with some variation among clinical",0 62 94 among clinical l meq mmol some variation with
219,475,73.6,Phosphorus,phosphorus
220,477,73.7,Acid-­Base Balance,acid balance base
221,486,0.2,normal saline,normal saline
222,492,77.1,Interfacility Transport of the Seriously,interfacility of seriously the transport
223,493,77.2,Risk Adjustment and Outcomes,adjustment and outcomes risk
224,494,77.3,Principles Applicable to the,applicable principles the to
225,503,0.01,mg/kg (0.1 mL/kg of the,0 1 kg mg ml of the
226,503,0.1,mg/mL concentration).,concentration mg ml
227,503,0.1,mg/kg (0.1 mL/kg of the,0 1 kg mg ml of the
228,503,0.02,mg/kg. May repeat once.,kg may mg once repeat
229,503,0.2,mg/kg rapid bolus,bolus kg mg rapid
230,504,0.1,mg/kg (max dose: 6 mg),6 dose kg max mg
231,505,0.01,mg/kg (0.1 mL/kg of the,0 1 kg mg ml of the
232,505,0.1,mg/mL concentration).,concentration mg ml
233,520,84.1,Postural Tachycardia Syndrome,postural syndrome tachycardia
234,520,0.5,2.0 4.0 6.0 8.0 10.0 12.0 14.0 16.0 18.0 20.022.024.026.0 29.0,0 022 024 026 10 12 14 16 18 2 20 29 4 6 8
235,520,0.5,2.0 4.0 6.0 8.0 10.0 12.0 14.0 16.0 18.0 20.022.024.026.0 29.0,0 022 024 026 10 12 14 16 18 2 20 29 4 6 8
236,520,0.5,2.0 4.0 6.0 8.0 10.0 12.0 14.0 16.0 18.0 20.022.024.026.0 29.0,0 022 024 026 10 12 14 16 18 2 20 29 4 6 8
237,520,0.5,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0,0 10 15 20 25 30 35 40 45 5 50 55 60
238,520,0.5,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0,0 10 15 20 25 30 35 40 45 5 50 55 60
239,520,0.5,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0,0 10 15 20 25 30 35 40 45 5 50 55 60
240,520,35.0,37.0,0 37
241,520,35.0,37.0,0 37
242,520,35.0,37.0,0 37
243,527,6.0,L/min/m2 is appropriate.,appropriate is l m2 min
244,530,0.03,for every 10 mm Hg rise in Paco2. Thus an infant with bronchopulmonary dysplasia who has a basal Paco2 of 60 mm Hg will have a,10 60 a an basal bronchopulmonary dysplasia every for has have hg in infant mm of paco2 rise thus who will with
245,530,0.95,(Table 86.9). When supplemental oxygen alone is inadequate to,86 9 alone inadequate is oxygen supplemental table to when
246,531,0.1,mg/kg IV,iv kg mg
247,531,0.1,mg/kg IV,iv kg mg
248,531,0.1,mg/kg IV,iv kg mg
249,531,0.1,mg/kg IV,iv kg mg
250,531,0.1,mg/kg IV,iv kg mg
251,531,86.1,Mechanical Ventilation,mechanical ventilation
252,534,0.5,seconds) time in the CPAPLOW phase. These atypically long Tis are tolerated because of a floating expiratory valve in the ventilator circuit that,a are atypically because circuit cpaplow expiratory floating in long of phase seconds that the these time tis tolerated valve ventilator
253,538,2.5,mg/kg PO every 12 hours;,12 every hours kg mg po
254,538,1.25,mg/kg PO every 12 hours;,12 every hours kg mg po
255,538,0.15,mg/kg PO/IM/IV every 6 hours;,6 every hours im iv kg mg po
256,549,89.1,Lightning Burns,burns lightning
257,550,14.2,(57.6),57 6
258,550,13.7,(56.7),56 7
259,552,90.1,Cold-­Induced Autoinflammatory and,and autoinflammatory cold induced
260,554,91.6,"lists preoperative fasting guidelines (e.g., nothing by mouth, or nil",by e fasting g guidelines lists mouth nil nothing or preoperative
261,559,91.1,Anesthetic Neurotoxicity,anesthetic neurotoxicity
262,562,1.5,mg,mg
263,562,0.15,mg/kg,kg mg
264,562,0.2,mg,mg
265,562,0.6,mg,mg
266,562,0.01,mg q2-­4h,4h mg q2
267,562,0.002,mg/kg/hr,hr kg mg
268,562,0.01,mg q2-­4h,4h mg q2
269,562,0.002,mg/kg/hr,hr kg mg
270,562,0.1,mg/kg q8-­24h,24h kg mg q8
271,562,0.1,mg/kg q8-­24h,24h kg mg q8
272,562,0.2,mg/kg q8-­12h,12h kg mg q8
273,562,2.5,mg TID,mg tid
274,562,0.05,mg/kg q2-­4h,4h kg mg q2
275,562,0.1,mg/kg q2-­4h,4h kg mg q2
276,562,0.3,mg/kg q3-­4h,4h kg mg q3
277,564,0.8,(sublingual),sublingual
278,564,93.15,and 93.16).,16 93 and
279,564,93.4,presents a decision-­making tree to help the physician select the,a decision help making physician presents select the to tree
280,566,2.5,mg/kg per day divided bid or tid,bid day divided kg mg or per tid
281,575,0.02,mg/kg over 5 min; may repeat q5-­10 min,10 5 kg may mg min over q5 repeat
282,575,0.2,"mg over 30 sec; if response is inadequate,",30 if inadequate is mg over response sec
283,575,0.15,mg/kg bolus followed by infusion of,bolus by followed infusion kg mg of
284,597,98.3,Thiopurine S-­methyltransferase,methyltransferase s thiopurine
285,598,98.1,Genetic Counseling,counseling genetic
286,599,98.2,Principles of Management and,and management of principles
287,601,99.1,Methods of Chromosome Analysis,analysis chromosome methods of
288,602,99.6,and 99.7). Oligonucleotides (short DNA segments) encompassing,7 99 and dna encompassing oligonucleotides segments short
289,603,99.2,Abnormalities of Chromosome Number,abnormalities chromosome number of
290,604,99.3,Abnormalities of Chromosome,abnormalities chromosome of
291,606,99.4,Sex Chromosome Aneuploidy,aneuploidy chromosome sex
292,607,99.5,Mosaicism,mosaicism
293,608,99.6,Chromosome Instability Syndromes,chromosome instability syndromes
294,608,99.7,Uniparental Disomy and Imprinting,and disomy imprinting uniparental
295,610,99.13,and 99.14). Imprinting probably occurs in many different parts of,14 99 and different imprinting in many occurs of parts probably
296,616,101.1,RAS/MAPK Pathway,mapk pathway ras
297,617,101.2,Sonic Hedgehog Pathway,hedgehog pathway sonic
298,618,101.3,Ciliopathies,ciliopathies
299,619,101.4,Craniosynostoses,craniosynostoses
300,622,103.1,Major Genetic Approaches to the,approaches genetic major the to
301,625,104.13,and Fig. 104.2). Elevation of blood ammonia is usually caused,104 2 ammonia and blood caused elevation fig is of usually
302,627,105.1,Phenylalanine,phenylalanine
303,629,105.2,Tyrosine,tyrosine
304,631,105.3,Methionine,methionine
305,633,105.4,Cysteine and Cystine,and cysteine cystine
306,633,105.5,Tryptophan,tryptophan
307,634,105.6,"Isoleucine, Leucine, Valine, and",and isoleucine leucine valine
308,640,105.7,Glycine,glycine
309,641,105.8,Serine Deficiency Disorders (Serine,deficiency disorders serine
310,642,105.8,and 105.10 show the metabolic pathway for the synthesis and,10 105 and for metabolic pathway show synthesis the
311,642,105.9,Proline,proline
312,642,105.10,Glutamic Acid,acid glutamic
313,643,105.11,Disorders of Neurotransmitter,disorders neurotransmitter of
314,644,105.1,"and Fig. 105.12), but because of the low activity of dihydrofolate reductase in the brain, the amount of BH4 remains insufficient for",105 12 activity amount and because bh4 brain but dihydrofolate fig for in insufficient low of reductase remains the
315,645,105.12,Urea Cycle and Hyperammonemia,and cycle hyperammonemia urea
316,648,105.13,Histidine,histidine
317,649,105.14,Lysine,lysine
318,649,105.9,and Fig. 105.9).,105 9 and fig
319,649,611.04,and 611.06).,06 611 and
320,650,105.15,N-­Acetylaspartic Acid (Canavan,acetylaspartic acid canavan n
321,651,106.1,Disorders of Mitochondrial Fatty Acid,acid disorders fatty mitochondrial of
322,654,106.2,Disorders of Very Long Chain,chain disorders long of very
323,657,106.3,Disorders of Lipoprotein Metabolism,disorders lipoprotein metabolism of
324,663,106.4,Lipidoses (Lysosomal Storage,lipidoses lysosomal storage
325,668,1.0,yr,yr
326,668,2.0,yr,yr
327,668,2.0,yr,yr
328,668,2.5,yr,yr
329,668,2.5,yr,yr
330,668,3.5,yr,yr
331,668,4.0,yr,yr
332,668,4.0,yr,yr
333,668,4.0,yr,yr
334,668,4.0,yr,yr
335,668,4.0,yr,yr
336,668,4.4,yr,yr
337,670,106.5,Mucolipidoses,mucolipidoses
338,670,107.1,Glycogen Storage Diseases,diseases glycogen storage
339,675,107.2,Defects in Galactose Metabolism,defects galactose in metabolism
340,676,107.3,Defects in Fructose Metabolism,defects fructose in metabolism
341,677,107.4,Defects in Intermediary Carbohydrate,carbohydrate defects in intermediary
342,680,107.5,Defects in Pentose Metabolism,defects in metabolism pentose
343,680,107.6,Disorders of Glycoprotein,disorders glycoprotein of
344,681,107.7,Congenital Disorders of Glycosylation,congenital disorders glycosylation of
345,684,1.5,g/kg/day (up to 3,3 day g kg to up
346,714,0.3,mg/kg/wk daily or every 12 hr (infants),12 daily every hr infants kg mg or wk
347,716,117.7,Treatment and Prevention of Fetal,and fetal of prevention treatment
348,722,119.1,Multiple-­Gestation Pregnancies,gestation multiple pregnancies
349,723,119.2,Extremely and Very Preterm Infants,and extremely infants preterm very
350,725,119.3,Moderate and Late Preterm Infants,and infants late moderate preterm
351,726,119.4,Term and Postterm Infants,and infants postterm term
352,727,119.5,Follow-­Up of High-­Risk Infants After,after follow high infants of risk up
353,727,119.10,lists common sequelae of prematurity.,common lists of prematurity sequelae
354,730,121.2,Hypothermia and Cold Stress,and cold hypothermia stress
355,730,121.1,Hyperthermia,hyperthermia
356,730,121.3,Edema,edema
357,730,121.4,Hypocalcemia,hypocalcemia
358,730,121.5,Hypermagnesemia,hypermagnesemia
359,730,122.1,The Cranium,cranium the
360,731,122.2,Neonatal Traumatic Head Injuries,head injuries neonatal traumatic
361,731,122.3,Intracranial-­Intraventricular,intracranial intraventricular
362,733,122.4,Hypoxic-­Ischemic Encephalopathy,encephalopathy hypoxic ischemic
363,734,122.7,and 122.8). Cerebral edema may develop during the next 24,122 24 8 and cerebral develop during edema may next the
364,736,122.5,Spine and Spinal Cord,and cord spinal spine
365,736,122.6,Peripheral Nerve Injuries,injuries nerve peripheral
366,736,4.6,"per 1,000 live births. Injury to the brachial plexus may cause paralysis of the upper part of the arm with or without paralysis of the forearm",000 1 arm births brachial cause forearm injury live may of or paralysis part per plexus the to upper with without
367,743,126.1,Patent Ductus Arteriosus,arteriosus ductus patent
368,750,131.1,Foramen of Morgagni Hernia,foramen hernia morgagni of
369,750,131.2,Paraesophageal Hernia,hernia paraesophageal
370,750,131.3,Eventration,eventration
371,759,137.1,Kernicterus and Therapy of,and kernicterus of therapy
372,764,0.2,"per 1,000 births, respectively. Clinical signs of FMH vary due to",000 1 births clinical due fmh of per respectively signs to vary
373,764,11.0,(33%),33
374,764,10.0,(30%),30
375,764,10.0,(30%),30
376,764,8.5,(25%),25
377,764,8.5,(25%),25
378,764,7.0,(21%),21
379,766,138.2,and 139.1). Full-­term infants are therefore considered polycythemic,1 139 and are considered full infants polycythemic term therefore
380,766,138.2,and 139.1). Full-­term infants are therefore considered polycythemic,1 139 and are considered full infants polycythemic term therefore
381,770,0.05,mg/kg/dose q3h,dose kg mg q3h
382,770,0.1,mg/kg/dose q6h for,dose for kg mg q6h
383,770,0.7,"mg/kg/dose q12h × 2 doses,",2 dose doses kg mg q12h
384,770,0.04,mg/kg/dose q12h × 2,2 dose kg mg q12h
385,770,0.03,mg/kg/dose q12h × 2,2 dose kg mg q12h
386,770,0.02,mg/kg/dose q12h × 2,2 dose kg mg q12h
387,770,0.01,mg/kg/dose q12h × 2,2 dose kg mg q12h
388,770,0.01,mg/kg/dose q24h × 1,1 dose kg mg q24h
389,770,1.5,μg/kg/dose q3h,dose kg q3h μg
390,775,13.5,(12.5-­14.6),12 14 5 6
391,775,45.4,(38.3-­53.7),3 38 53 7
392,775,26.0,(22.6-­29.9),22 29 6 9
393,775,15.5,(13.2-­18.2),13 18 2
394,775,10.1,(8.5-­11.9),11 5 8 9
395,776,148.1,"and 148.5); (3) premature infants have documented immune dysfunction; and (4) premature infants often require prolonged intravenous access, endotracheal intubation, or other invasive procedures that",148 3 4 5 access and documented dysfunction endotracheal have immune infants intravenous intubation invasive often or other premature procedures prolonged require that
396,779,149.1,Congenital Infections,congenital infections
397,780,149.2,Perinatal Infections,infections perinatal
398,782,149.7,provides a summary of laboratory tests that are useful to diagnose specific perinatal infections.,a are diagnose infections laboratory of perinatal provides specific summary tests that to useful
399,783,8.8,years in Black females and 9.6 years in White females. Almost 25%,25 6 9 almost and black females in white years
400,787,151.1,Legal Issues,issues legal
401,788,151.2,Screening Procedures,procedures screening
402,791,22.5,mg,mg
403,791,153.6,and 153.7).,153 7 and
404,792,12.5,μg/24 hr every,24 every hr μg
405,792,12.5,mg/m2 every,every m2 mg
406,792,37.5,mg every 6 mo,6 every mg mo
407,799,6.1,(1.1-­33.83),1 33 83
408,799,5.8,(1.7-­19.2),1 19 2 7
409,799,10.7,(3.2-­35.6),2 3 35 6
410,799,4.6,(1.5-­14.2),1 14 2 5
411,799,2.1,(0.72-­6.2),0 2 6 72
412,799,8.6,(1.4-­54.2),1 2 4 54
413,799,0.85,(0.19-­3.8),0 19 3 8
414,799,4.6,(0.93-­23.0),0 23 93
415,799,3.0,(0.88-­10.3),0 10 3 88
416,799,0.83,(0.08-­8.5),0 08 5 8
417,799,6.4,(1.3-­30.7),1 3 30 7
418,799,3.7,(0.93-­14.4),0 14 4 93
419,799,4.3,(1.1-­17.6),1 17 6
420,799,24.6,(4.3-­138.7),138 3 4 7
421,799,6.1,(1.6-­22),1 22 6
422,799,6.2,(1.1-­34.2),1 2 34
423,799,3.6,(1.1-­11.7),1 11 7
424,801,157.1,Alcohol,alcohol
425,802,157.2,"Tobacco, E-­Cigarettes, and Other",and cigarettes e other tobacco
426,803,0.5,mg PO in morning for 3 days; increase to,3 days for in increase mg morning po to
427,803,0.5,"mg PO bid for 4 days, then increase to",4 bid days for increase mg po then to
428,803,0.5,mg/spray,mg spray
429,803,157.3,Marijuana,marijuana
430,803,157.4,Inhalants,inhalants
431,804,157.5,EVALI,evali
432,804,157.6,Hallucinogens,hallucinogens
433,805,157.7,Cocaine,cocaine
434,805,157.8,Amphetamines,amphetamines
435,806,157.9,Stimulant Use and Diversion,and diversion stimulant use
436,806,157.10,Opiates/Opioids,opiates opioids
437,806,157.11,Synthetic Cannabinoids,cannabinoids synthetic
438,808,159.1,Amenorrhea,amenorrhea
439,809,159.2,Abnormal Uterine Bleeding,abnormal bleeding uterine
440,809,159.3,Dysmenorrhea,dysmenorrhea
441,810,11.25,mg IM q3mo,im mg q3mo
